algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,9461,8
QuickSort,random,1000,0,12922,7
QuickSelect,random,1000,0,2471,1
MergeSort,sorted,1000,0,4236,8
QuickSort,sorted,1000,0,11056,8
QuickSelect,sorted,1000,0,2795,1
MergeSort,duplicates,1000,0,9234,8
QuickSort,duplicates,1000,0,2987,4
QuickSelect,duplicates,1000,0,3016,1
MergeSort,random,10000,1,127185,11
QuickSort,random,10000,0,162727,10
QuickSelect,random,10000,0,31701,1
MergeSort,sorted,10000,0,59248,11
QuickSort,sorted,10000,0,154828,9
QuickSelect,sorted,10000,0,37032,1
MergeSort,duplicates,10000,0,121710,11
QuickSort,duplicates,10000,0,32939,4
QuickSelect,duplicates,10000,0,15020,1
MergeSort,random,100000,7,1639538,14
QuickSort,random,100000,8,2074442,12
QuickSelect,random,100000,0,247919,1
MergeSort,sorted,100000,1,744016,14
QuickSort,sorted,100000,3,2014506,12
QuickSelect,sorted,100000,0,165414,1
MergeSort,duplicates,100000,4,1561163,14
QuickSort,duplicates,100000,1,300343,4
QuickSelect,duplicates,100000,0,319424,1
MergeSort,random,1000000,92,19890452,18
QuickSort,random,1000000,76,24180020,13
QuickSelect,random,1000000,8,2735011,1
MergeSort,sorted,1000000,18,9071040,18
QuickSort,sorted,1000000,40,25705784,15
QuickSelect,sorted,1000000,3,3192200,1
MergeSort,duplicates,1000000,44,18923577,18
QuickSort,duplicates,1000000,10,3799742,3
QuickSelect,duplicates,1000000,6,1900947,1
